run,seed,fraction,edge_count,strategy,repeat,train_accuracy,test_accuracy,baseline_test_accuracy,test_accuracy_delta
kan_p31_f35_wd0.3_seed12,12,0.1,130,random,1,0.9910714030265808,0.9855999946594238,1.0,-0.014400005340576172
kan_p31_f35_wd0.3_seed12,12,0.1,130,random,2,0.976190447807312,0.9584000110626221,1.0,-0.04159998893737793
kan_p31_f35_wd0.3_seed12,12,0.1,130,random,3,0.9583333134651184,0.9696000218391418,1.0,-0.030399978160858154
kan_p31_f35_wd0.3_seed12,12,0.1,130,random,4,0.9940476417541504,0.984000027179718,1.0,-0.015999972820281982
kan_p31_f35_wd0.3_seed12,12,0.1,130,random,5,0.9553571343421936,0.9728000164031982,1.0,-0.027199983596801758
kan_p31_f35_wd0.3_seed12,12,0.1,130,random,6,0.9702380895614624,0.979200005531311,1.0,-0.020799994468688965
kan_p31_f35_wd0.3_seed12,12,0.1,130,random,7,0.9851190447807312,0.9855999946594238,1.0,-0.014400005340576172
kan_p31_f35_wd0.3_seed12,12,0.1,130,random,8,0.988095223903656,0.995199978351593,1.0,-0.004800021648406982
kan_p31_f35_wd0.3_seed12,12,0.1,130,random,9,0.9583333134651184,0.9440000057220459,1.0,-0.0559999942779541
kan_p31_f35_wd0.3_seed13,13,0.01,13,top,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed13,13,0.01,13,bottom,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed13,13,0.01,13,random,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed13,13,0.01,13,random,1,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed13,13,0.01,13,random,2,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed13,13,0.01,13,random,3,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed13,13,0.01,13,random,4,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed13,13,0.01,13,random,5,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed13,13,0.01,13,random,6,1.0,0.9983999729156494,1.0,-0.001600027084350586
kan_p31_f35_wd0.3_seed13,13,0.01,13,random,7,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed13,13,0.01,13,random,8,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed13,13,0.01,13,random,9,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed13,13,0.05,65,top,0,0.988095223903656,0.9488000273704529,1.0,-0.05119997262954712
kan_p31_f35_wd0.3_seed13,13,0.05,65,bottom,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed13,13,0.05,65,random,0,1.0,0.995199978351593,1.0,-0.004800021648406982
kan_p31_f35_wd0.3_seed13,13,0.05,65,random,1,0.9940476417541504,0.9919999837875366,1.0,-0.008000016212463379
kan_p31_f35_wd0.3_seed13,13,0.05,65,random,2,0.9970238208770752,0.9887999892234802,1.0,-0.011200010776519775
kan_p31_f35_wd0.3_seed13,13,0.05,65,random,3,0.9970238208770752,0.9887999892234802,1.0,-0.011200010776519775
kan_p31_f35_wd0.3_seed13,13,0.05,65,random,4,0.9970238208770752,0.9711999893188477,1.0,-0.028800010681152344
